model,accuracy,precision,recall,f1,roc_auc,avg_precision,inference_time,true_positives,false_positives,true_negatives,false_negatives,specificity,npv,fpr,fnr,train_time,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
Decision Tree,0.7222222222222222,0.29069767441860467,0.5102040816326531,0.37037037037037035,0.6260620979909473,0.22372959561176387,0.00024127960205078125,25,61,196,24,0.7626459143968871,0.8909090909090909,0.23735408560311283,0.4897959183673469,0.045652151107788086,0.7614420509168596,0.01052556023368147,0.765391230687323,0.046688941067276224,0.7671749940800379,0.07246213528091623,0.7618768236931546,0.014528290454311272,,
AdaBoost,0.7320261437908496,0.2608695652173913,0.3673469387755102,0.3050847457627119,0.5877868657190503,0.2357695969793458,0.018681049346923828,18,51,206,31,0.8015564202334631,0.869198312236287,0.19844357976653695,0.6326530612244898,0.7361118793487549,0.7215108895614503,0.011977392570829828,0.7365122515427048,0.02696264991506058,0.6941794932512433,0.04550157011641288,0.7130897742040558,0.017922250177103673,,
Logistic Regression,0.4673202614379085,0.1797752808988764,0.6530612244897959,0.28193832599118945,0.5389899150321608,0.20827229753723156,0.0002422332763671875,32,146,111,17,0.43190661478599224,0.8671875,0.5680933852140078,0.3469387755102041,0.035697221755981445,0.5443107233992048,0.016483417822383103,0.5340328107806005,0.012308986003254868,0.69816244376036,0.012390563913871673,0.6051282221150555,0.011721867626046392,,
Neural Network,0.17647058823529413,0.16279069767441862,1.0,0.28,0.5097276264591439,0.16279069767441862,0.0005571842193603516,49,252,5,0,0.019455252918287938,1.0,0.980544747081712,0.0,0.17972874641418457,0.5048816094000357,0.019364045158030713,0.5345373722478691,0.06361366334730184,0.664205541084537,0.3574733744683476,0.5176948543882609,0.1743062762486695,,
SVM (RBF),0.17647058823529413,0.1605351170568562,0.9795918367346939,0.27586206896551724,0.46807750337489085,0.15216011907739146,0.062071800231933594,48,251,6,1,0.023346303501945526,0.8571428571428571,0.9766536964980544,0.02040816326530612,0.816129207611084,0.5039000652780251,0.00536704053171917,0.3020017695200177,0.24659434531244181,0.5960975609756097,0.4867637670388421,0.4008759037476707,0.32731406857115003,,
Gaussian Naive Bayes,0.24183006535947713,0.15730337078651685,0.8571428571428571,0.26582278481012656,0.5223933931549274,0.18967858879760374,0.0007376670837402344,42,225,32,7,0.1245136186770428,0.8205128205128205,0.8754863813229572,0.14285714285714285,0.0010728836059570312,0.4970886000830811,0.021573160694686552,0.49834574771760554,0.012440264729924377,0.8675491356855316,0.024244980773072886,0.6330143306893206,0.015796334890945153,,
K-Nearest Neighbors,0.6143790849673203,0.15841584158415842,0.32653061224489793,0.21333333333333335,0.4561661240371635,0.16103500714177404,0.06628680229187012,16,85,172,33,0.669260700389105,0.8390243902439024,0.33073929961089493,0.673469387755102,0.0005476474761962891,0.7107791822443772,0.03130618829227521,0.7017240738917857,0.03787590809788687,0.7380487804878049,0.019135101658108555,0.718915457810913,0.02410365640089805,,
XGBoost,0.6895424836601307,0.17142857142857143,0.24489795918367346,0.20168067226890757,0.5394663702056698,0.20748380826928856,0.0027239322662353516,12,58,199,37,0.77431906614786,0.8432203389830508,0.22568093385214008,0.7551020408163265,0.4096240997314453,0.8524823452614088,0.020337394033649574,0.8082715611877438,0.026835887788239563,0.9259815297182097,0.02374085629129839,0.8627308297755103,0.01757758788444705,,
Random Forest,0.7679738562091504,0.21052631578947367,0.16326530612244897,0.1839080459770115,0.5597951242753911,0.2086281690008937,0.06441283226013184,8,30,227,41,0.8832684824902723,0.8470149253731343,0.11673151750972763,0.8367346938775511,1.081040620803833,0.875841196368168,0.015258841562957383,0.8911481507213688,0.0177048128871142,0.8568079564290787,0.03124156632242588,0.8732212289487131,0.01664699620326875,,
LightGBM,0.7679738562091504,0.21052631578947367,0.16326530612244897,0.1839080459770115,0.5418486460732153,0.21142806003344905,0.006791353225708008,8,30,227,41,0.8832684824902723,0.8470149253731343,0.11673151750972763,0.8367346938775511,0.21196770668029785,0.8972690048068364,0.011078591408671385,0.896046625626995,0.017078876909190875,0.8996637461520246,0.03162481624840379,0.8973084344021511,0.012657835702023898,,
Gradient Boosting,0.7581699346405228,0.1951219512195122,0.16326530612244897,0.17777777777777778,0.5490748828714365,0.19461982425751256,0.003385782241821289,8,33,224,41,0.8715953307392996,0.8452830188679246,0.12840466926070038,0.8367346938775511,4.486743450164795,0.8802302533974246,0.01179600147704055,0.8778669619720707,0.017853827321125525,0.8841202936301208,0.025085039764509588,0.8806209448309146,0.012321479203058275,,
Extra Trees,0.7581699346405228,0.1951219512195122,0.16326530612244897,0.17777777777777778,0.5584054633526563,0.2104509474462928,0.08435750007629395,8,33,224,41,0.8715953307392996,0.8452830188679246,0.12840466926070038,0.8367346938775511,0.5245263576507568,0.8807180582754732,0.016520302835530878,0.8886990435386553,0.01119016370096416,0.8704570210750651,0.031906764520113214,0.879203699583775,0.018224169958748402,,
